"year","amo_index"
1970,-0.127166666666667
1971,-0.336833333333333
1972,-0.37925
1973,-0.242166666666667
1974,-0.4475
1975,-0.326166666666667
1976,-0.391666666666667
1977,-0.2175
1978,-0.208333333333333
1979,-0.139333333333333
1980,-0.0475833333333333
1981,-0.10575
1982,-0.242
1983,-0.100416666666667
1984,-0.2375
1985,-0.29725
1986,-0.304833333333333
1987,0.0361666666666667
1988,-0.0355833333333333
1989,-0.1135
1990,-0.0694166666666667
1991,-0.163416666666667
1992,-0.2505
1993,-0.24225
1994,-0.20875
1995,0.102833333333333
1996,-0.0901666666666667
1997,0.0193333333333333
1998,0.339666666666667
1999,0.0849166666666667
2000,-0.00491666666666666
2001,0.0855833333333333
2002,0.0313333333333333
2003,0.197583333333333
2004,0.172416666666667
2005,0.25775
2006,0.2325
2007,0.113333333333333
2008,0.103833333333333
2009,0.00466666666666667
2010,0.315083333333333
2011,0.06725
2012,0.178833333333333
2013,0.131666666666667
2014,0.0668333333333333
2015,0.0789166666666667
2016,0.3075
2017,0.280416666666667
2018,0.0335
2019,0.139083333333333
2020,0.268166666666667
